car_id,worker_id,fix_date,work_type,destroy_degree,work_duration
d-7352777o,SL,2020-2-20 1:27,reparking,1.0,22
j-2201624B,NR,2020-2-4 13:4,refuel_check,1.0,31
z-4990028V,HF,2020-3-28 17:11,repair,4.9,7
S17802902i,YP,2020-1-15 22:35,reparking,1.0,26
r-5223681u,EL,2020-3-14 20:21,repair,5.1,13
T-1846242d,JB,2020-2-22 13:29,repair,6.2,21
A-1737634s,CC,2020-3-29 1:3,reparking,1.0,21
m-3564148V,DL,2020-3-25 11:47,reparking,1.0,30
n-8990441z,JY,2020-3-3 16:8,repair,10.0,57
l-1270744J,DC,2020-2-23 17:7,refuel_check,1.0,30
Z-1497483y,OB,2020-1-15 10:19,repair,5.8,15
k-1266231T,WS,2020-1-28 5:55,repair,6.6,31
P13663597M,OM,2020-1-3 7:27,repair,4.4,7
j20806666W,JP,2020-3-16 23:11,reparking,1.0,24
V43499402t,XP,2020-2-27 11:44,reparking,1.0,31
i-3205593N,UB,2020-2-19 4:13,refuel_check,1.0,22
Q-2037054s,WG,2020-3-18 22:14,repair,6.0,24
m-1018494E,RB,2020-1-10 14:9,reparking,1.0,31
g-1503076Q,NX,2020-2-24 16:13,repair,4.6,4
a15606967c,FF,2020-3-29 15:4,reparking,1.0,32
z22851238e,PH,2020-3-1 5:16,repair,5.5,18
E-5768743C,XC,2020-3-14 17:51,refuel_check,1.0,28
k50823429c,ZL,2020-2-23 2:34,reparking,1.0,20
r-9019459m,KH,2020-1-10 0:8,refuel_check,1.0,17
W-1085488J,LM,2020-1-27 7:45,reparking,1.0,24
t21606510Y,TB,2020-2-26 17:41,reparking,1.0,30
i36367577X,WP,2020-2-16 2:2,repair,5.0,21
a-1993580l,PR,2020-2-20 7:42,repair,3.9,2
l20015000O,JC,2020-1-23 1:29,reparking,1.0,20
h-1396839K,EB,2020-2-14 5:17,reparking,1.0,25
b-8006722p,VY,2020-1-4 21:50,refuel,1.0,26
O15208534I,EW,2020-1-10 11:1,repair,5.0,62
n-8099641m,AR,2020-1-14 12:22,reparking,1.0,30
g-2072833K,HO,2020-2-27 2:39,reparking,1.0,20
s-1243339h,LJ,2020-1-19 11:11,repair,5.5,13
e89496897S,QV,2020-2-25 20:8,refuel_check,1.0,28
U-1517611e,VD,2020-1-15 10:34,repair,5.5,12
T-1440241N,FV,2020-3-24 12:42,repair,4.3,1
S17718285e,VX,2020-2-23 20:59,repair,7.2,34
e22835001P,EW,2020-2-21 7:23,repair,5.6,21
f-2044867Y,HJ,2020-2-19 3:53,reparking,1.0,23
G36366245G,OM,2020-3-7 18:27,repair,4.4,5
y40441306G,WR,2020-2-1 12:38,reparking,1.0,33
v-1508530W,HX,2020-2-18 2:40,repair,5.1,20
i13348473C,DC,2020-2-11 4:26,reparking,1.0,22
v-1905656K,NC,2020-1-4 7:21,repair,5.0,20
L22673753u,KK,2020-1-5 14:5,reparking,1.0,32
y78999678J,NF,2020-2-22 1:11,refuel,1.0,21
t-1355401k,VV,2020-1-21 5:12,repair,7.0,34
L84463953R,ZB,2020-2-13 0:17,refuel_check,1.0,20
o-1663812b,LN,2020-3-30 13:58,reparking,1.0,31
q23501901h,JM,2020-3-6 13:16,repair,5.0,12
s19895093b,EW,2020-1-13 23:54,reparking,1.0,23
l-1554787I,NV,2020-2-14 23:30,reparking,1.0,24
U20118110o,AY,2020-3-7 11:28,refuel,1.0,30
c-1038656M,TC,2020-3-14 14:50,reparking,1.0,33
p-1862043f,XK,2020-1-26 0:8,repair,5.0,54
L18676057l,RS,2020-2-12 10:8,repair,5.0,17
u-5015974t,OO,2020-2-5 1:25,reparking,1.0,21
X24084222O,SS,2020-1-21 2:16,reparking,1.0,22
K-1916013Q,RH,2020-2-11 17:18,repair,6.1,21
l-4285389z,VC,2020-1-21 12:41,reparking,1.0,29
y-1784222v,NC,2020-3-28 15:43,repair,4.6,3
T19870933B,RN,2020-3-26 5:4,repair,4.6,10
S15627573c,DG,2020-1-6 8:11,reparking,10.0,62
m16863308b,AS,2020-1-25 13:12,repair,5.3,12
O-7894514e,TF,2020-3-23 0:41,reparking,5.0,49
I20900258y,FT,2020-1-10 13:0,repair,4.6,2
f-1825133R,RB,2020-1-18 5:18,repair,5.6,22
l-1607581F,HO,2020-2-22 4:30,repair,9.0,59
J-1782910O,DK,2020-2-6 12:40,repair,5.0,8
N19589603r,HD,2020-1-29 0:24,repair,5.3,23
d37118079d,AY,2020-3-26 3:13,repair,7.7,42
u54154743P,SC,2020-3-12 0:42,repair,5.0,28
j16845365O,CV,2020-3-18 1:45,reparking,1.0,19
G81601770L,AL,2020-3-22 15:11,reparking,1.0,35
q13885185m,EY,2020-1-30 20:6,repair,5.8,20
M49274481G,HH,2020-1-13 12:24,refuel_check,1.0,30
t11315883F,JF,2020-3-21 16:4,repair,3.3,8
d-1134540I,LF,2020-3-2 10:54,repair,5.0,59
q71640430n,AZ,2020-2-23 14:25,repair,6.2,19
F-7462902B,WT,2020-2-29 4:39,reparking,1.0,25
g-1760425A,GM,2020-2-26 8:17,repair,6.1,19
C20191765o,WZ,2020-2-9 8:7,repair,5.0,34
h-7408890w,DP,2020-3-23 7:0,repair,10.0,63
q12245711E,AY,2020-2-8 12:8,repair,3.7,3
V13438854p,RD,2020-3-7 17:9,repair,5.9,18
n12377024x,VP,2020-3-23 0:5,reparking,1.0,17
z-8396890u,AG,2020-1-14 7:8,reparking,1.0,25
S-1235434W,SO,2020-1-28 10:7,reparking,1.0,25
s13888728i,WG,2020-1-4 1:32,repair,5.9,27
X22359217a,HZ,2020-2-21 0:49,repair,6.1,34
n16260385q,KZ,2020-1-19 2:26,reparking,1.0,22
R-1126472L,KO,2020-3-1 19:5,repair,6.0,23
k86159975d,ML,2020-3-24 10:0,reparking,1.0,32
C-6638042h,DT,2020-2-2 1:47,repair,6.4,35
b55045663j,KV,2020-3-8 4:9,reparking,10.0,65
h10096493s,QJ,2020-2-25 22:42,repair,7.6,41
R49036294u,ND,2020-1-29 9:20,repair,5.8,15
H-1070903M,VF,2020-1-29 18:28,repair,6.8,30
x13730258P,AF,2020-1-29 2:18,repair,6.9,39
W-1775855Q,FG,2020-2-27 21:23,repair,5.0,23
S-3888121i,ZP,2020-2-10 18:14,repair,6.1,20
i98744677i,XH,2020-3-19 0:10,reparking,1.0,20
n-4605215n,AY,2020-3-6 19:59,repair,6.3,26
O78712164p,EJ,2020-2-11 5:21,reparking,1.0,25
v-2280326L,RB,2020-2-5 4:2,repair,4.4,10
c-7401486X,PW,2020-1-6 21:42,reparking,1.0,24
o-2922285t,WN,2020-2-24 15:26,repair,5.0,16
y75359172F,CM,2020-3-24 2:14,repair,7.4,42
C63413357V,NL,2020-1-13 2:1,reparking,1.0,25
O22786315O,AL,2020-1-9 2:2,reparking,1.0,20
e-1589877h,SB,2020-2-18 0:50,refuel_check,1.0,23
J-1137633W,FC,2020-1-6 5:21,refuel_check,1.0,26
T17971896t,FL,2020-1-21 6:40,repair,10.0,64
o-9505235X,OS,2020-1-4 19:42,repair,2.4,10
r35592741h,IW,2020-1-16 23:17,refuel_check,10.0,48
S-2179649Y,QF,2020-3-28 16:28,reparking,1.0,29
W21048865S,DX,2020-2-10 16:3,repair,5.1,9
X-1055263h,NM,2020-3-21 9:17,repair,6.3,24
F-3458483b,FD,2020-2-6 11:11,repair,5.0,37
e-9324711M,ZY,2020-3-4 7:3,repair,4.9,9
g83089172g,GF,2020-2-29 10:0,repair,4.9,10
d-6273123g,KM,2020-3-13 5:19,repair,5.1,15
r18501621n,UY,2020-3-23 18:19,repair,5.7,19
z16908407t,QX,2020-2-11 1:9,repair,6.9,39
p-7727399o,FO,2020-3-15 1:18,oil_change,1.0,22
L86038163R,MX,2020-3-29 8:55,repair,4.2,4
Y74292605C,XW,2020-1-14 9:36,reparking,1.0,29
E-7802767l,OJ,2020-1-10 2:44,repair,6.9,38
x98858599X,XK,2020-3-22 8:33,reparking,1.0,27
s17437438h,JK,2020-2-25 19:3,repair,7.0,31
B43377576R,WL,2020-1-3 11:40,repair,4.8,7
j19148530u,GG,2020-1-8 19:1,repair,5.0,17
G12472145Q,HN,2020-2-1 18:39,reparking,1.0,29
F-8081733V,AO,2020-1-29 5:15,repair,6.1,24
u21716903G,HD,2020-2-30 2:50,repair,10.0,66
k53527360z,HR,2020-3-11 11:14,repair,7.1,30
L-4359316J,WP,2020-2-29 19:15,reparking,1.0,28
b-8098670o,CY,2020-1-9 17:44,repair,10.0,57
s22711570h,WF,2020-2-23 7:13,repair,4.8,12
L-2105285X,PL,2020-1-12 17:50,reparking,1.0,29
P-1455215x,IW,2020-3-4 3:21,repair,10.0,68
o-9460824A,VP,2020-2-20 19:14,repair,6.5,29
Z64841412z,XR,2020-3-2 14:59,refuel,1.0,30
q14218693U,HK,2020-1-29 1:13,repair,6.9,38
v-9957846B,QS,2020-2-1 7:7,repair,5.0,16
G-1964724b,TK,2020-1-6 16:0,reparking,1.0,32
N-2930071J,CK,2020-2-23 2:18,repair,7.3,42
N-1337765t,IO,2020-3-19 20:3,repair,4.7,9
n10482164t,LP,2020-1-26 19:24,refuel,1.0,28
V21055732W,HR,2020-2-13 18:13,reparking,1.0,28
L20847256I,AC,2020-2-5 14:9,repair,3.4,8
K20941520F,BR,2020-1-16 13:12,repair,7.0,29
s-1506268E,CV,2020-2-26 10:29,reparking,9.0,51
M63300651V,ZL,2020-2-9 11:52,repair,4.8,8
i-1845254S,GG,2020-1-28 20:35,repair,5.3,14
j-1164533d,DW,2020-1-15 11:48,repair,5.0,31
Q22604154e,EC,2020-3-29 19:49,refuel,1.0,29
B91129852I,UM,2020-1-18 6:43,repair,6.6,31
E10689597V,FG,2020-2-18 10:41,repair,4.1,2
v84995071C,WX,2020-1-8 1:17,refuel_check,1.0,20
S12437589H,NY,2020-1-14 5:17,refuel_check,1.0,24
r-4084524U,NR,2020-3-3 4:23,repair,10.0,65
p-2049920L,QG,2020-1-21 0:19,refuel,1.0,18
A-2251370Z,MB,2020-1-1 5:0,reparking,1.0,25
I-4541478k,UV,2020-2-5 14:35,repair,8.1,37
b41466140L,XY,2020-3-19 15:20,repair,5.9,14
N96513993C,PV,2020-3-8 18:23,reparking,1.0,28
h-2041660O,LZ,2020-2-29 10:28,repair,5.0,21
k26646728S,GZ,2020-2-1 15:26,refuel,1.0,33
v50135109z,ID,2020-3-10 6:12,reparking,1.0,27
S-2180379V,IZ,2020-1-12 8:48,repair,4.9,12
M20457206h,VB,2020-3-13 4:35,repair,5.0,19
Z-1004053E,GN,2020-1-5 18:2,repair,6.0,18
O-2688441F,MH,2020-1-8 2:3,reparking,1.0,22
w-1020644b,CD,2020-3-26 15:19,repair,6.4,21
R14565987z,RF,2020-2-9 10:23,repair,5.2,12
j-2092568x,AX,2020-1-7 7:31,repair,6.1,22
E10178721V,QL,2020-2-14 9:22,repair,5.2,11
M-9668613M,BG,2020-2-19 6:11,repair,6.0,23
q-1575533Y,PR,2020-3-10 17:27,repair,5.0,22
A19264202q,DR,2020-2-21 14:56,repair,5.3,9
L18993999w,BT,2020-2-8 18:22,repair,4.8,4
W78299212w,NN,2020-3-27 14:46,repair,5.0,21
H11593230U,ZJ,2020-2-15 15:19,repair,6.3,21
f78630029r,AS,2020-3-2 22:36,refuel,1.0,22
h-5517689I,JM,2020-2-26 19:35,reparking,1.0,25
c-3559292Z,NO,2020-1-12 14:20,reparking,1.0,31
T69253406y,QN,2020-3-29 8:5,reparking,1.0,28
Z-2000448T,KH,2020-2-5 11:3,reparking,1.0,33
Y22725587G,QH,2020-2-15 17:19,reparking,1.0,29
I20629724K,AP,2020-1-3 22:7,reparking,1.0,24
Y17319354d,XJ,2020-3-14 5:59,repair,5.0,26
k11526558b,NM,2020-1-26 22:0,repair,10.0,65
K23027223e,FZ,2020-3-10 18:47,repair,5.0,10
i-2296057M,OT,2020-1-27 11:21,repair,7.3,30
W11094351T,KR,2020-2-1 20:45,reparking,8.0,40
e-1632869f,OR,2020-3-25 14:30,reparking,1.0,34
U14909638n,US,2020-3-12 12:32,repair,5.0,13
S-8631452Q,PG,2020-1-24 22:22,reparking,1.0,27
I-5997907e,OK,2020-1-25 20:4,reparking,1.0,32
I-2277221J,UC,2020-3-20 8:50,reparking,8.0,42
j36860430F,UG,2020-3-25 5:59,reparking,1.0,25
E20487110v,VM,2020-1-26 10:58,refuel_check,1.0,30
m-1316228Q,XK,2020-3-29 19:47,reparking,1.0,26
H17549143D,TC,2020-2-1 8:55,reparking,1.0,27
y-3814795q,LL,2020-3-19 22:36,repair,10.0,63
d-5980296U,GN,2020-2-23 9:13,repair,6.5,25
E-1192475T,PF,2020-2-25 3:31,refuel_check,1.0,23
y-3995748C,JK,2020-1-18 18:2,reparking,1.0,28
B25854093d,KR,2020-2-13 7:3,repair,5.8,21
j26265780j,WT,2020-2-28 19:0,refuel,1.0,30
P41449662O,FV,2020-3-23 12:42,repair,7.7,36
D-8569809Z,EW,2020-2-2 23:24,repair,4.9,12
f-4517248O,TZ,2020-3-26 0:7,reparking,1.0,19
q22680253Z,QT,2020-3-10 4:6,reparking,1.0,20
v22877971A,DP,2020-2-21 22:21,repair,5.4,19
Z-2109687y,FD,2020-1-29 12:53,repair,5.9,18
c-1909821W,KG,2020-1-1 2:8,refuel_check,1.0,21
v-9816729Z,RK,2020-3-10 1:38,refuel_check,1.0,19
m-2234361C,EG,2020-2-12 20:21,reparking,1.0,29
u-1813398B,XZ,2020-1-18 1:1,repair,5.7,25
U10311712e,XY,2020-2-24 8:23,reparking,9.0,52
N-1585083b,VR,2020-1-28 6:29,repair,4.7,10
b-2174248s,VX,2020-3-30 3:2,reparking,1.0,23
d-1590616X,LV,2020-2-4 13:36,repair,10.0,56
e60616052a,MX,2020-1-24 10:13,reparking,1.0,28
i40584522k,SW,2020-1-16 4:31,repair,4.5,12
O20309077v,HF,2020-3-30 1:18,reparking,1.0,24
J79491457w,NW,2020-2-29 11:28,repair,4.7,7
Q13493762f,OG,2020-2-17 12:21,reparking,1.0,32
F16044963S,AH,2020-3-12 10:23,repair,6.4,24
v-1950459j,IL,2020-1-11 15:14,repair,7.7,34
r-2272437U,CP,2020-1-24 7:36,reparking,1.0,28
n84700288Y,XY,2020-3-12 6:0,reparking,1.0,25
e-1100534R,FV,2020-1-21 1:31,repair,8.5,48
d22823530e,AG,2020-3-18 0:27,repair,4.2,11
a-1405894q,FX,2020-3-27 11:43,repair,5.0,14
J12356869N,TC,2020-2-25 11:18,repair,3.9,1
Z-2191916Z,GL,2020-1-28 4:24,repair,6.5,30
X66836862t,JG,2020-3-11 0:29,refuel_check,1.0,15
r-2626717n,HF,2020-2-14 6:5,repair,2.8,7
v-2214221g,QP,2020-1-22 2:38,refuel_check,1.0,22
C-3329059P,XB,2020-1-16 0:53,repair,4.2,12
h10197943p,XY,2020-2-24 1:16,reparking,1.0,19
f-1804114y,QK,2020-2-23 14:49,repair,4.5,3
B22565681K,UG,2020-2-6 9:53,repair,6.7,27
S-1091522c,UL,2020-2-16 16:13,repair,5.0,8
y-1223003V,MJ,2020-3-26 21:21,repair,5.5,19
u13780325P,VX,2020-2-5 0:7,refuel,1.0,17
K81291347a,BH,2020-3-6 18:14,repair,5.0,11
f-2607363Z,FG,2020-2-12 5:25,refuel_check,10.0,68
V-2127600s,OM,2020-3-9 19:57,repair,4.0,2
H-1361541T,PH,2020-2-28 13:53,repair,7.0,27
y40076926G,SG,2020-2-25 13:2,reparking,1.0,33
u21483945j,UD,2020-3-1 6:51,reparking,1.0,23
H-1952766q,YL,2020-1-29 13:19,reparking,1.0,28
e-5032325d,IW,2020-3-2 9:10,repair,7.2,34
m-2097732q,OT,2020-3-5 4:53,reparking,1.0,23
N-1449511Y,CD,2020-3-5 18:19,reparking,1.0,29
m14032324U,TH,2020-1-28 18:23,reparking,1.0,30
T24942626H,RS,2020-2-14 15:43,refuel,1.0,31
y-3708778R,UP,2020-3-22 22:12,repair,5.0,65
a-1448713X,CZ,2020-2-19 10:41,repair,6.1,22
B-3521656h,SL,2020-2-4 11:23,repair,6.8,28
V-1522589e,ZS,2020-3-23 1:20,reparking,1.0,18
B-1876818F,AN,2020-3-7 16:35,repair,5.0,11
e16211606h,WS,2020-3-12 12:29,reparking,1.0,34
K18787489X,QT,2020-3-12 11:11,repair,8.1,37
Y-2223402p,KC,2020-1-6 14:12,repair,6.0,16
s-8423183t,PM,2020-2-20 5:56,repair,5.7,22
m13540768n,FP,2020-2-28 19:0,reparking,1.0,29
i-2071885N,VH,2020-3-24 6:7,repair,3.2,5
y-1004097K,PD,2020-2-23 9:7,reparking,1.0,28
D-1336442P,NN,2020-2-4 16:25,repair,6.0,19
K-6183157n,HV,2020-3-15 18:40,repair,6.5,24
C13983433s,WT,2020-3-6 3:37,refuel_check,1.0,20
u15884696J,YR,2020-3-25 21:2,reparking,1.0,26
L-1924578I,SX,2020-2-13 1:22,refuel_check,1.0,19
O-1758049J,LV,2020-2-27 9:22,repair,7.1,30
X11025811v,AR,2020-2-2 8:15,reparking,1.0,26
M10065891P,XV,2020-2-1 22:15,repair,4.5,10
S21991071M,DK,2020-3-3 0:41,repair,7.3,45
M-2095669m,UV,2020-3-26 17:26,reparking,1.0,31
h54754410l,CO,2020-2-26 13:18,refuel,1.0,33
Y-6116422G,DM,2020-3-24 19:46,reparking,1.0,25
M21896536R,RV,2020-2-24 10:24,reparking,1.0,26
k15205794j,UL,2020-2-6 7:31,reparking,1.0,28
H62136397R,NC,2020-2-17 21:10,repair,5.0,20
E-2002668A,TC,2020-2-26 6:33,refuel,1.0,26
F-7066018m,HJ,2020-2-24 7:47,repair,6.2,26
d-8684879I,OC,2020-3-4 11:2,reparking,1.0,29
f11353067l,SH,2020-3-30 17:0,reparking,1.0,28
U18643336W,FW,2020-1-21 11:25,reparking,1.0,29
i-1641236y,UL,2020-2-7 15:40,refuel_check,1.0,30
m10508273p,BB,2020-3-24 10:20,repair,7.5,32
w-3300489y,BN,2020-1-9 17:45,reparking,1.0,29
W-1146682H,BD,2020-3-12 17:31,repair,4.4,4
O-1116026m,ST,2020-2-23 17:7,repair,6.3,20
U15626570a,ET,2020-1-13 13:29,repair,7.6,33
H-7693291w,PM,2020-3-9 23:16,refuel,1.0,24
B-3413598z,QH,2020-1-25 23:9,repair,2.7,6
K47229301D,GD,2020-2-29 4:20,repair,5.0,18
q83106491d,TT,2020-1-27 17:29,repair,6.6,24
w30595040m,CS,2020-3-6 9:10,refuel_check,1.0,30
r-6945448j,QR,2020-3-25 0:9,repair,5.5,26
l-1528999M,BW,2020-3-2 13:28,repair,4.2,2
g-1203735u,BW,2020-3-19 16:30,reparking,1.0,32
Y-1457465R,HO,2020-2-19 7:26,repair,6.3,33
w-6743502g,TX,2020-2-22 11:26,repair,5.0,23
N25093826z,DP,2020-1-3 8:56,repair,5.0,39
G-2162452R,MX,2020-1-14 12:23,reparking,1.0,28
g11810192a,LP,2020-1-15 0:52,reparking,1.0,22
d12165520i,AR,2020-3-8 20:40,refuel,1.0,25
B16049866X,TY,2020-3-23 12:2,repair,5.1,11
P52156891U,ON,2020-2-10 10:2,reparking,1.0,30
D-1867285e,PP,2020-2-18 7:49,reparking,1.0,26
A12568692Y,KM,2020-2-10 1:12,refuel,9.0,58
C-1658821I,DG,2020-1-17 10:48,reparking,1.0,34
n31353865P,VR,2020-1-15 16:0,repair,4.9,10
z-5617263I,XZ,2020-2-14 10:9,reparking,5.0,61
a-2277951A,RH,2020-3-2 10:21,refuel_check,1.0,31
q-1501864D,XS,2020-1-12 3:45,repair,6.5,31
p22201009c,FG,2020-1-18 21:1,repair,5.0,13
b-1731846p,WW,2020-2-12 3:45,refuel,1.0,21
a-2924229p,IK,2020-2-5 21:20,repair,5.2,16
B20112755F,ZV,2020-2-6 0:21,repair,5.0,34
m41690051B,ZP,2020-1-27 2:33,repair,10.0,48
j-9803131z,LB,2020-2-2 17:1,refuel,1.0,29
H12470081t,OP,2020-3-22 20:6,repair,5.0,34
m-6830168g,TR,2020-2-14 14:29,reparking,1.0,33
q96758261e,GZ,2020-3-5 11:17,reparking,1.0,31
k15171262X,PC,2020-1-16 2:48,refuel,1.0,19
h-2930740k,PH,2020-3-18 15:7,reparking,1.0,30
X-3262812p,RR,2020-3-27 6:13,refuel_check,1.0,26
f-1863210S,LK,2020-2-12 6:36,repair,6.2,28
I-3655411V,OK,2020-2-3 16:22,repair,5.9,19
j-1143057h,XL,2020-1-13 7:6,repair,4.4,10
Z-2128377r,OO,2020-2-2 19:0,repair,5.0,16
p17325319H,TX,2020-1-20 13:5,repair,5.0,37
h17861805G,YP,2020-1-26 13:14,reparking,1.0,33
x16453445a,XS,2020-1-18 16:5,refuel,1.0,30
B37768184I,YF,2020-3-17 10:18,reparking,1.0,29
f21340662W,NM,2020-1-6 6:24,reparking,1.0,23
K22750834U,FM,2020-1-30 23:13,repair,3.0,4
M-3227100t,QC,2020-2-14 23:25,refuel_check,1.0,24
h17414658v,OZ,2020-1-14 0:2,repair,4.6,15
b-7040874b,CB,2020-3-18 0:34,reparking,8.0,48
Q39818857Y,GC,2020-1-11 4:32,repair,2.9,3
x84930337h,RK,2020-2-14 3:52,repair,5.9,26
W-6196754y,TR,2020-3-10 21:20,repair,4.6,10
g28641563H,BX,2020-2-26 3:3,repair,5.7,24
F-1666827W,HB,2020-1-12 15:47,repair,5.0,20
U-6212557F,QO,2020-3-20 17:2,repair,5.0,44
c-1794298L,NB,2020-3-13 22:17,reparking,1.0,24
b-1088056N,DK,2020-2-18 3:11,repair,3.8,3
j-1094740D,GT,2020-3-2 13:23,reparking,10.0,57
p-1264204Z,AL,2020-2-23 8:32,reparking,1.0,26
L10577542G,OP,2020-2-3 2:16,reparking,1.0,20
o-2139524M,OX,2020-1-23 1:9,reparking,1.0,20
l20269048F,KF,2020-3-7 5:18,repair,4.8,13
C-1753458i,EY,2020-1-27 8:9,repair,5.8,19
x21906434L,MG,2020-1-24 5:13,repair,4.5,12
s-6339166E,BC,2020-2-12 2:31,repair,5.0,35
L21647080y,KZ,2020-1-9 15:24,reparking,1.0,33
T-7684106s,EL,2020-3-29 13:6,reparking,1.0,31
P-3929445q,KM,2020-3-25 12:46,repair,5.5,13
m12662735d,SW,2020-3-16 6:56,reparking,1.0,25
Q19968160Q,RP,2020-2-29 21:58,repair,5.8,19
d87894116z,IC,2020-3-21 8:6,repair,5.0,21
U11614816e,CK,2020-2-2 9:7,repair,5.0,17
x-8099343c,BZ,2020-2-12 19:51,repair,4.1,3
A-6570552N,PC,2020-2-20 9:55,repair,6.2,26
k-1985555z,ED,2020-3-17 11:41,refuel_check,1.0,29
k13077603E,YT,2020-3-22 10:41,repair,5.1,10
H11107062P,QT,2020-1-16 9:28,repair,5.2,12
u-1297698j,WG,2020-1-27 7:16,repair,6.7,28
F15798669C,FH,2020-3-24 3:6,reparking,1.0,22
w-1026142O,PK,2020-1-30 11:23,reparking,1.0,32
k-2104004I,AK,2020-2-6 2:36,reparking,1.0,18
q-8257935P,WH,2020-1-29 5:2,refuel_check,1.0,23
b13641719v,NS,2020-2-28 3:10,repair,3.8,6
p-1396299V,GB,2020-3-24 8:24,reparking,1.0,27
r14567820H,XL,2020-2-25 12:40,repair,6.8,27
B-1894922s,AF,2020-3-23 21:50,reparking,1.0,28
P-2227204H,JY,2020-2-27 14:19,reparking,1.0,35
J-1502453c,EJ,2020-1-7 14:31,reparking,1.0,33
j-1956405K,UP,2020-2-22 23:40,repair,6.3,30
w33168720l,UJ,2020-2-25 0:39,refuel_check,1.0,17
Q-1492285k,VS,2020-2-25 23:1,repair,3.7,1
h-1344515n,GZ,2020-3-22 12:30,repair,5.0,8
B20262533I,PW,2020-3-1 5:26,reparking,1.0,23
T-2294411h,IP,2020-3-12 17:4,repair,4.5,4
s-5157124G,NZ,2020-2-8 19:39,reparking,8.0,42
D11741561w,VK,2020-3-22 11:0,reparking,8.0,40
p-2060516y,FT,2020-3-25 1:9,refuel,1.0,19
x13966371T,KW,2020-3-12 17:41,repair,5.0,24
N59793228F,CP,2020-2-2 3:5,reparking,1.0,23
W-2514493U,KM,2020-3-7 3:17,refuel_check,1.0,22
J-2127749D,MM,2020-3-13 6:13,refuel_check,1.0,25
P17494612l,SR,2020-1-18 2:14,refuel_check,1.0,20
